,BIO_SEX,H1PF18,H1PF19,H1PF20,H1PF21,H1TO15,H1FS1,H1FS2,H1FS3,H1FS4,H1FS5,H1FS6,H1FS7,H1FS8,H1FS9
3688,(1) Male,(4) Disagree,(1) Strongly agree,(1) Strongly agree,(2) Agree,(6) 1 or 2 days in past 12 months,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
178,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(1) Sometimes,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(2) A lot of the time,(1) Sometimes,(2) A lot of the time
1885,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(4) 2 or 3 days/month,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
986,(1) Male,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(6) 1 or 2 days in past 12 months,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
110,(2) Female,(1) Strongly agree,(2) Agree,(3) Neither agree nor disagree,(2) Agree,(7) Never (skip to Q.29),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
290,(2) Female,(2) Agree,(2) Agree,(4) Disagree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
2786,(2) Female,(3) Neither agree nor disagree,(2) Agree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(97) Legitimate skip (hasn't had a drink),(1) Sometimes,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(1) Sometimes,(0) Never/rarely
4625,(2) Female,(2) Agree,(2) Agree,(4) Disagree,(2) Agree,(2) 3-5 days/week,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(1) Sometimes
2328,(1) Male,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(2) Agree,(6) 1 or 2 days in past 12 months,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(0) Never/rarely
1013,(1) Male,(6) Refused,(6) Refused,(6) Refused,(6) Refused,(97) Legitimate skip (hasn't had a drink),(6) Refused,(6) Refused,(6) Refused,(6) Refused,(6) Refused,(6) Refused,(6) Refused,(6) Refused,(6) Refused
3811,(2) Female,(2) Agree,(3) Neither agree nor disagree,(4) Disagree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
6495,(2) Female,(4) Disagree,(2) Agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely
4464,(2) Female,(1) Strongly agree,(1) Strongly agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(1) Sometimes,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(1) Sometimes,(0) Never/rarely
535,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(6) 1 or 2 days in past 12 months,(1) Sometimes,(1) Sometimes,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(2) A lot of the time,(0) Never/rarely,(2) A lot of the time,(1) Sometimes
5542,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(3) 1 or 2 days/week,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(3) Most/all of the time,(2) A lot of the time,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(0) Never/rarely
1200,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(6) 1 or 2 days in past 12 months,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(2) A lot of the time,(1) Sometimes,(1) Sometimes
1234,(2) Female,(4) Disagree,(4) Disagree,(4) Disagree,(4) Disagree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
702,(1) Male,(1) Strongly agree,(2) Agree,(1) Strongly agree,(1) Strongly agree,(7) Never (skip to Q.29),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
3201,(1) Male,(2) Agree,(4) Disagree,(4) Disagree,(2) Agree,(4) 2 or 3 days/month,(2) A lot of the time,(3) Most/all of the time,(2) A lot of the time,(2) A lot of the time,(2) A lot of the time,(2) A lot of the time,(2) A lot of the time,(1) Sometimes,(1) Sometimes
5707,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(1) Sometimes,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(0) Never/rarely
4203,(1) Male,(2) Agree,(1) Strongly agree,(1) Strongly agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(0) Never/rarely
2961,(1) Male,(3) Neither agree nor disagree,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(2) 3-5 days/week,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
2213,(2) Female,(2) Agree,(1) Strongly agree,(4) Disagree,(2) Agree,(7) Never (skip to Q.29),(2) A lot of the time,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(3) Most/all of the time,(3) Most/all of the time,(2) A lot of the time,(1) Sometimes,(1) Sometimes
3697,(1) Male,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely
834,(1) Male,(2) Agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(5) Once a month or less (3-12 times in past 12 months),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
1635,(2) Female,(1) Strongly agree,(2) Agree,(2) Agree,(1) Strongly agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(0) Never/rarely
2007,(1) Male,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely
1077,(1) Male,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(4) 2 or 3 days/month,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
2103,(2) Female,(2) Agree,(2) Agree,(2) Agree,(4) Disagree,(97) Legitimate skip (hasn't had a drink),(1) Sometimes,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(1) Sometimes,(1) Sometimes,(0) Never/rarely
1532,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(7) Never (skip to Q.29),(1) Sometimes,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(0) Never/rarely,(1) Sometimes,(0) Never/rarely
2726,(1) Male,(1) Strongly agree,(1) Strongly agree,(2) Agree,(3) Neither agree nor disagree,(3) 1 or 2 days/week,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
6425,(2) Female,(1) Strongly agree,(5) Strongly disagree,(1) Strongly agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(1) Sometimes
1583,(2) Female,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
2157,(2) Female,(1) Strongly agree,(2) Agree,(2) Agree,(1) Strongly agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(2) A lot of the time,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(0) Never/rarely
1615,(2) Female,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
4446,(2) Female,(4) Disagree,(4) Disagree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
3488,(2) Female,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(4) Disagree,(3) Neither agree nor disagree,(5) Once a month or less (3-12 times in past 12 months),(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes
69,(1) Male,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
2743,(1) Male,(1) Strongly agree,(1) Strongly agree,(2) Agree,(1) Strongly agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely
6462,(2) Female,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
253,(2) Female,(2) Agree,(2) Agree,(2) Agree,(1) Strongly agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely
1676,(1) Male,(2) Agree,(2) Agree,(2) Agree,(4) Disagree,(5) Once a month or less (3-12 times in past 12 months),(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(0) Never/rarely
5883,(2) Female,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(6) 1 or 2 days in past 12 months,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
6380,(1) Male,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely
3033,(1) Male,(2) Agree,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(2) A lot of the time,(0) Never/rarely
861,(2) Female,(4) Disagree,(2) Agree,(4) Disagree,(3) Neither agree nor disagree,(6) 1 or 2 days in past 12 months,(3) Most/all of the time,(2) A lot of the time,(3) Most/all of the time,(1) Sometimes,(2) A lot of the time,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(0) Never/rarely
4543,(1) Male,(3) Neither agree nor disagree,(2) Agree,(2) Agree,(2) Agree,(7) Never (skip to Q.29),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes
4291,(2) Female,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(6) 1 or 2 days in past 12 months,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(2) A lot of the time,(0) Never/rarely
1813,(2) Female,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
4984,(2) Female,(1) Strongly agree,(1) Strongly agree,(2) Agree,(4) Disagree,(97) Legitimate skip (hasn't had a drink),(1) Sometimes,(0) Never/rarely,(1) Sometimes,(3) Most/all of the time,(2) A lot of the time,(0) Never/rarely,(3) Most/all of the time,(3) Most/all of the time,(0) Never/rarely
1613,(2) Female,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(7) Never (skip to Q.29),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
2972,(1) Male,(2) Agree,(4) Disagree,(4) Disagree,(4) Disagree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
3340,(2) Female,(2) Agree,(2) Agree,(2) Agree,(3) Neither agree nor disagree,(3) 1 or 2 days/week,(2) A lot of the time,(1) Sometimes,(1) Sometimes,(1) Sometimes,(1) Sometimes,(2) A lot of the time,(2) A lot of the time,(1) Sometimes,(0) Never/rarely
805,(2) Female,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(2) Agree,(3) 1 or 2 days/week,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely
6151,(2) Female,(2) Agree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(3) Neither agree nor disagree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(0) Never/rarely
4024,(1) Male,(4) Disagree,(4) Disagree,(4) Disagree,(2) Agree,(3) 1 or 2 days/week,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(2) A lot of the time,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely
3988,(2) Female,(2) Agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(4) 2 or 3 days/month,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(1) Sometimes,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely
1456,(1) Male,(1) Strongly agree,(1) Strongly agree,(2) Agree,(1) Strongly agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(3) Most/all of the time,(0) Never/rarely
5721,(1) Male,(2) Agree,(2) Agree,(2) Agree,(2) Agree,(97) Legitimate skip (hasn't had a drink),(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(1) Sometimes,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely,(0) Never/rarely
